geneID	R_27738	R_27722_PCR	R_29691_PCR	R_28359	R_28373_PCR	R_30129_PCR	SBBSR37	SBBSR40	SBBSR41	SBBSR43	SBBSR45	SBBSR47	SBBSR48	SBBSR49	SBBSR50	SBBSR51	SBBSR54	SBBSR55	SBBSR56	SBBSR39
ENSG00000000003	12	101	105	2	84	61	554	475	316	893	438	346	852	207	735	478	84	463	400	1411
ENSG00000000005	0	67	83	0	25	32	163	28	42	258	287	12	26	4	16	37	13	95	95	171
ENSG00000000419	2	242	108	0	106	192	715	1046	580	980	745	959	750	867	635	624	339	1236	650	1004
ENSG00000000457	6	12	2	5	12	60	564	786	473	554	462	487	411	488	482	613	270	701	449	704
ENSG00000000460	7	32	15	19	16	55	133	226	137	230	151	168	169	164	155	147	103	185	117	203
ENSG00000000938	342	1613	426	140	698	4872	414	3870	3213	1106	1301	4326	699	5242	390	1523	3011	3440	278	294
ENSG00000000971	375	1927	1447	67	2706	1063	7787	12863	7675	18215	5116	5562	3737	6957	2985	6465	2525	14804	4890	3994
ENSG00000001036	88	1025	327	2	557	1074	1502	2888	2654	2269	1665	4664	1167	3019	1381	1325	2032	3045	628	1106
ENSG00000001084	18	252	93	10	201	367	1085	2998	774	1045	760	1854	832	2554	625	1257	1009	2320	557	1200
ENSG00000001167	4	114	43	4	61	104	560	959	361	1135	346	735	458	779	376	530	228	743	372	699
ENSG00000001460	28	92	62	35	50	63	108	166	82	117	162	115	138	95	166	111	31	141	152	208
ENSG00000001461	75	225	228	55	187	167	756	1148	460	551	682	532	605	692	739	630	338	850	697	1318
ENSG00000001497	417	928	950	253	701	693	968	1411	1067	1409	1505	1175	896	1062	1093	1078	903	1360	1113	1086
ENSG00000001561	1	117	50	1	79	124	331	380	236	810	147	529	285	930	182	330	140	452	106	536
ENSG00000001617	341	568	771	49	786	175	734	702	605	1113	1587	148	1431	300	1733	1138	122	1052	2024	1147
ENSG00000001626	7	23	72	49	35	1	108	150	26	1	74	10	301	7	124	58	2	67	91	515
ENSG00000001629	13	233	90	30	83	307	1331	1703	350	1422	494	1101	728	1650	574	1314	184	1247	717	1255
ENSG00000001630	0	0	0	0	0	0	8	1	1	6	4	4	19	21	8	9	0	8	2	1
ENSG00000001631	4	110	28	3	62	223	1046	1244	283	1434	478	733	604	989	505	812	167	1050	644	1151
ENSG00000002016	38	122	100	33	91	107	257	438	158	470	166	127	161	176	157	194	84	176	235	411
ENSG00000002079	13	25	9	19	19	4	5	2	3	1	7	2	2	0	0	1	1	5	5	3
ENSG00000002330	317	239	314	260	278	140	175	219	457	207	634	260	304	208	473	251	324	249	334	175
ENSG00000002549	231	1273	731	78	1993	1462	2280	10095	5634	6833	3288	6698	2673	14155	1544	3095	2626	8272	4668	1912
ENSG00000002586	818	8602	4461	214	6381	8915	5738	9839	10452	7019	11133	12923	5383	7253	8741	6477	7231	9368	6614	5587
ENSG00000002587	33	116	33	36	61	21	26	52	27	96	34	56	17	28	42	14	2	29	27	43
ENSG00000002726	16	60	164	1	78	19	30	68	20	15	65	21	115	24	108	53	4	41	42	90
ENSG00000002745	8	11	2	0	19	0	262	231	17	24	147	38	154	15	432	121	2	258	149	228
ENSG00000002746	1	12	10	18	9	3	36	50	18	6	32	26	22	27	23	25	9	10	11	18
ENSG00000002822	2436	1627	1787	2065	1689	2240	144	426	514	206	573	316	321	389	355	369	465	431	276	181
ENSG00000002834	26	851	201	92	414	1801	4089	9946	6058	7783	4570	8779	2464	9132	3711	3991	4186	7061	2949	3043
ENSG00000002919	86	616	511	21	527	469	430	1270	763	850	731	969	428	995	516	489	556	926	497	565
ENSG00000002933	506	2333	332	248	765	2216	717	5320	4021	2874	1107	5143	398	1144	566	2062	2762	2723	562	302
ENSG00000003056	12	82	16	29	49	379	1625	5643	1754	3059	1496	5174	1433	7578	1075	2061	1166	3810	882	1524
ENSG00000003096	0	13	6	4	10	7	140	150	42	160	44	60	77	12	71	91	6	63	33	136
ENSG00000003137	24	163	137	3	74	173	524	898	176	413	359	345	633	500	988	1052	56	524	1778	775
ENSG00000003147	15	162	189	28	92	90	574	687	460	763	630	446	395	321	695	457	231	553	618	876
ENSG00000003249	0	34	105	1	40	10	73	38	46	22	183	19	116	15	153	47	15	64	150	106
ENSG00000003393	25	165	51	89	116	197	682	828	383	1128	513	693	539	730	529	641	138	814	534	918
ENSG00000003400	123	400	281	13	300	538	1353	1986	1322	1638	820	1045	546	1295	658	1472	934	1206	886	831
ENSG00000003402	288	1235	889	212	967	1121	3996	8834	4262	5872	3320	5137	3158	8283	2175	5419	4134	6940	3650	3792
ENSG00000003436	70	501	140	53	203	191	1225	1886	844	2461	812	1256	447	627	1055	1744	374	1093	1081	948
ENSG00000003509	22	164	110	16	89	210	364	602	338	675	339	494	266	467	339	332	177	443	365	596
ENSG00000003756	221	1977	1200	57	1052	1300	5893	7355	3500	7009	5473	5430	4065	5390	4631	5217	2474	5750	5864	7323
ENSG00000003987	18	22	10	1	22	38	15	10	6	1	9	1	13	1	10	12	0	19	7	12
ENSG00000003989	2	298	150	40	139	135	905	546	405	3093	696	473	439	343	544	1053	142	627	569	820
ENSG00000004059	45	1881	1340	0	1563	2518	1071	1754	1560	1239	2755	1585	1968	1365	2175	1386	1030	1741	1803	1712
ENSG00000004139	24	60	29	25	32	54	568	844	530	666	618	803	437	728	505	634	423	734	470	587
ENSG00000004142	233	1122	1308	86	1074	1081	1222	2053	1752	1926	2585	2086	1908	1870	1989	1423	1175	2319	1490	2112
ENSG00000004399	10148	7544	4895	5396	4725	11369	2505	7822	4741	6166	4454	8953	1712	8938	3923	5040	3524	4912	2021	1695
ENSG00000004455	193	972	799	46	844	948	1899	3141	2203	3423	2942	2418	2068	2869	2253	2008	1302	2746	2218	2915
ENSG00000004468	4	124	61	3	137	154	896	1424	1092	958	239	447	150	1693	21	408	1050	1093	84	58
ENSG00000004478	41	311	422	215	441	169	1077	1490	1736	2424	2297	777	1843	472	2169	1332	329	1814	2250	2835
ENSG00000004487	84	524	609	54	607	647	1542	1997	1361	1831	2020	1925	1442	1562	1609	1397	818	1874	1471	2249
ENSG00000004534	2598	3515	2503	2245	1871	2584	4641	6616	5031	6895	5661	4015	2869	4060	3158	3857	3594	4958	3759	5153
ENSG00000004660	295	594	478	123	348	612	383	390	487	336	986	478	693	380	968	617	440	747	613	612
ENSG00000004700	6	116	53	14	99	174	1051	2107	764	1965	565	1605	761	2024	571	1068	477	1388	489	934
ENSG00000004766	18	147	56	10	125	187	613	1115	397	799	363	549	458	752	398	658	177	778	462	790
ENSG00000004776	19	107	230	0	47	88	897	364	833	4032	2827	157	117	70	341	192	400	352	514	721
ENSG00000004777	79	258	299	16	342	1066	145	199	219	193	321	115	217	235	292	255	193	239	222	147
ENSG00000004779	143	664	693	103	856	359	661	1071	1770	1158	1544	1202	946	763	1095	627	1307	1232	881	1363
ENSG00000004799	12	258	99	2	56	120	261	1161	623	6058	357	124	276	55	140	585	184	453	1224	770
ENSG00000004809	0	20	0	5	8	4	2	22	16	34	19	3	6	49	11	4	7	4	7	4
ENSG00000004838	13	57	41	43	39	18	30	20	20	34	20	11	30	19	16	18	16	23	28	21
ENSG00000004846	1	72	5	3	6	20	35	320	15	76	22	64	26	3	81	67	4	49	84	26
ENSG00000004848	0	3	9	14	12	3	8	0	2	4	2	0	0	0	0	1	6	0	2	1
ENSG00000004864	16	131	71	58	106	221	603	705	458	632	520	845	587	835	583	632	256	1049	414	888
ENSG00000004866	53	160	92	17	144	153	468	647	504	575	580	668	421	566	456	474	310	689	368	554
ENSG00000004897	19	384	233	12	280	363	1451	1776	875	2117	794	1585	716	1847	793	1419	594	1577	661	1226
ENSG00000004939	9	25	10	7	30	0	17	2	2	49	64	1	6	3	1	2	7	2	23	18
ENSG00000004948	7	9	4	0	6	3	7	29	7	11	6	20	8	13	2	6	5	14	2	3
ENSG00000004961	35	155	158	17	176	167	341	792	460	529	520	571	471	630	405	391	289	684	388	687
ENSG00000004975	44	319	201	30	260	650	546	711	558	612	1024	606	729	724	818	696	320	777	845	606
ENSG00000005001	1	168	320	62	303	9	38	81	36	0	179	19	581	13	385	48	5	65	49	169
ENSG00000005007	215	1675	1148	59	1155	1985	1056	1591	725	1517	1432	1008	1281	1577	1326	1405	535	1267	1320	1144
ENSG00000005020	23	300	71	1	119	329	656	2582	785	1494	423	2088	479	2127	424	1093	414	1455	437	794
ENSG00000005022	43	1755	1402	19	2438	1323	3736	7550	6660	4621	7334	6937	8574	6192	7492	4394	4797	7943	4853	9452
ENSG00000005059	25	377	163	26	289	380	504	1551	1225	1320	885	1410	456	1209	684	816	686	1581	672	612
ENSG00000005073	3	7	12	0	12	26	135	19	30	127	144	48	15	58	14	31	8	82	40	25
ENSG00000005075	996	1660	1596	515	1449	1495	160	287	515	184	421	287	270	225	289	244	465	341	244	188
ENSG00000005100	571	179	341	493	195	161	596	646	336	1024	427	478	494	609	518	607	207	647	469	762
